;site_code;site_name;value_mean;value_min;value_max;value_amount;date_loc_min;date_loc_max
16;21908;Джалинда;-13.09653519370177;-65.2;28.8;25658;1942-02-20 00:00:00.000;2015-11-30 00:00:00.000
17;21921;Кюсюр;-13.219140511267687;-58.2;27.2;34346;1909-09-01 00:00:00.000;2015-10-31 00:00:00.000
18;21931;Юбилейная;-13.273038831492697;-53.0;28.5;28070;1936-02-01 00:00:00.000;2015-10-31 00:00:00.000
19;21946;Чокурдах;-13.626450446291168;-51.7;26.3;25992;1944-08-01 00:00:00.000;2015-11-30 00:00:00.000
20;21978;Валькаркай;-11.593643371017471;-44.8;23.3;19460;1959-07-01 00:00:00.000;2015-10-31 00:00:00.000
21;21982;О.Врангеля;-10.811431580903994;-45.9;12.8;32279;1926-10-01 00:00:00.000;2015-07-31 00:00:00.000
22;22003;Вайда-Губа;1.4462322183775471;-22.5;26.3;36414;1894-01-01 00:00:00.000;2014-11-30 00:00:00.000
23;22004;Никель;0.4316997858459087;-37.6;27.1;20079;1959-01-01 00:00:00.000;2014-12-31 00:00:00.000
24;22009;Перевал;-1.1890992087644554;-30.0;25.7;16430;1956-09-02 00:00:00.000;2014-12-31 00:00:00.000
25;22012;Цып-Наволок;1.2632480292027495;-36.0;33.1;25751;1936-01-08 00:00:00.000;2014-03-31 00:00:00.000
26;22018;Ура-Губа;0.6387079113057761;-38.0;27.8;18265;1959-07-01 00:00:00.000;2014-12-31 00:00:00.000
27;22019;Полярное;1.1762244703187632;-31.1;27.9;26195;1936-01-01 00:00:00.000;2014-12-31 00:00:00.000
28;22028;Териберка;0.7897573178715047;-28.2;29.6;42772;1893-06-01 00:00:00.000;2014-12-31 00:00:00.000
29;22100;Верховье р.Лотты;-1.0301223653711389;-49.5;25.5;18551;1960-01-01 00:00:00.000;2013-06-30 00:00:00.000
30;22101;Янискоски;-0.4765417771883289;-44.7;25.7;18096;1959-07-01 00:00:00.000;2013-06-30 00:00:00.000
31;22105;Ниванкюль;-0.1013649972091135;-46.4;25.7;19707;1959-07-01 00:00:00.000;2014-12-31 00:00:00.000
32;22106;Падун;-0.29496348526819444;-45.2;26.3;27797;1936-01-01 00:00:00.000;2014-12-31 00:00:00.000
33;22113;Мурманск;0.44430612386434565;-38.0;27.6;28838;1936-01-01 00:00:00.000;2014-12-31 00:00:00.000
34;22127;Ловозеро;-1.2035301388787902;-42.5;27.3;27506;1936-01-01 00:00:00.000;2014-12-31 00:00:00.000
35;22140;Святой Нос;0.11946114986769305;-28.5;26.0;41570;1895-01-01 00:00:00.000;2014-07-31 00:00:00.000
36;22165;Канин Нос;-0.7132466869093901;-31.2;26.0;35239;1915-11-06 00:00:00.000;2014-05-31 00:00:00.000
37;22193;Бугрино;-2.785231771485843;-36.7;20.4;19955;1959-07-01 00:00:00.000;2014-12-31 00:00:00.000
38;22204;Ковдор;-0.30289907312049436;-40.7;24.8;19420;1959-01-01 00:00:00.000;2014-12-31 00:00:00.000
39;22212;Мончегорск;-0.0748420091324201;-42.4;26.4;27375;1936-01-01 00:00:00.000;2014-12-31 00:00:00.000
40;22214;Зашеек;-0.06536585365853659;-38.3;26.7;27880;1936-01-02 00:00:00.000;2014-12-31 00:00:00.000
41;22217;Кандалакша;0.4194971079691517;-41.0;25.3;37344;1912-09-01 00:00:00.000;2014-12-31 00:00:00.000
42;22235;Краснощелье;-0.9518430278070862;-42.8;27.2;29381;1932-05-20 00:00:00.000;2014-12-31 00:00:00.000
43;22249;Каневка;-1.4977889816711307;-48.0;27.0;19041;1959-07-01 00:00:00.000;2014-12-31 00:00:00.000
44;22271;Шойна;-1.2433913509823997;-37.0;24.0;20511;1958-01-01 00:00:00.000;2014-12-31 00:00:00.000
45;22292;Индига;-2.411997537703909;-42.0;24.2;32490;1923-10-16 00:00:00.000;2014-10-31 00:00:00.000
46;22302;Зареченск;1.0439246624812488;-39.7;25.8;17999;1963-09-01 00:00:00.000;2014-12-31 00:00:00.000
47;22312;Ковда;1.14704937025825;-38.5;27.5;26757;1936-01-01 00:00:00.000;2014-12-31 00:00:00.000
48;22324;Умба;1.0034805788271135;-38.4;24.6;26260;1936-01-01 00:00:00.000;2014-12-31 00:00:00.000
49;22334;Кашкаранцы;0.7209457639898744;-33.3;22.5;18567;1959-07-01 00:00:00.000;2013-06-30 00:00:00.000
50;22339;Чаваньга;0.6541751639750869;-32.1;22.1;18143;1959-07-02 00:00:00.000;2014-12-31 00:00:00.000
51;22349;Пялица;-0.07581095353047676;-31.9;21.1;26512;1936-01-01 00:00:00.000;2014-12-31 00:00:00.000
52;22355;Сосновец;-0.5870476924188074;-30.4;17.5;41537;1897-01-01 00:00:00.000;2014-10-31 00:00:00.000
