;site_code;site_name;value_mean;value_min;value_max;value_amount;date_loc_min;date_loc_max
26;22018;Ура-Губа;4.36327027027027;-33.7;33.5;18500;1959-07-01 00:00:00.000;2014-12-31 00:00:00.000
27;22019;Полярное;4.252998299641035;-29.3;33.1;26465;1936-01-01 00:00:00.000;2014-12-31 00:00:00.000
28;22028;Териберка;3.810280321643958;-26.1;38.4;35816;1913-12-01 00:00:00.000;2014-12-31 00:00:00.000
29;22100;Верховье р.Лотты;3.882633309969267;-47.1;33.2;18547;1960-01-01 00:00:00.000;2013-06-30 00:00:00.000
30;22101;Янискоски;3.896680841663445;-43.5;34.9;18107;1959-07-01 00:00:00.000;2013-06-30 00:00:00.000
31;22105;Ниванкюль;3.7696887892833497;-45.5;31.8;19633;1959-07-01 00:00:00.000;2014-12-31 00:00:00.000
32;22106;Падун;4.110786888784946;-43.0;36.3;27793;1936-01-01 00:00:00.000;2014-12-31 00:00:00.000
33;22113;Мурманск;3.797951602263653;-36.1;32.9;28803;1936-01-12 00:00:00.000;2014-12-31 00:00:00.000
34;22127;Ловозеро;3.1173927429138635;-39.2;33.5;27201;1936-01-01 00:00:00.000;2014-12-31 00:00:00.000
35;22140;Святой Нос;2.9089006473735552;-27.2;30.6;33829;1917-11-15 00:00:00.000;2014-07-31 00:00:00.000
36;22165;Канин Нос;1.682426163377035;-29.6;30.5;34705;1915-11-06 00:00:00.000;2014-05-31 00:00:00.000
37;22193;Бугрино;0.3183804430863254;-35.3;26.8;19635;1959-08-10 00:00:00.000;2014-12-31 00:00:00.000
38;22204;Ковдор;3.629471628289474;-38.4;31.9;19456;1959-01-01 00:00:00.000;2014-12-31 00:00:00.000
39;22212;Мончегорск;3.762176601895561;-41.1;32.3;27327;1936-01-01 00:00:00.000;2014-12-31 00:00:00.000
40;22214;Зашеек;3.732042076541969;-34.7;38.6;27854;1936-01-02 00:00:00.000;2014-12-31 00:00:00.000
41;22217;Кандалакша;4.103687565561204;-37.8;31.6;37179;1912-10-01 00:00:00.000;2014-12-31 00:00:00.000
42;22235;Краснощелье;3.2331779675432926;-38.7;33.9;29393;1932-05-21 00:00:00.000;2014-12-31 00:00:00.000
43;22249;Каневка;2.8808578778810308;-45.4;34.2;19047;1959-07-01 00:00:00.000;2014-12-31 00:00:00.000
44;22271;Шойна;2.066695914984888;-33.5;32.1;20514;1958-01-01 00:00:00.000;2014-12-31 00:00:00.000
45;22292;Индига;0.9732789408866994;-41.1;31.3;32480;1923-10-16 00:00:00.000;2014-10-31 00:00:00.000
46;22302;Зареченск;4.9500332889480685;-36.9;33.7;18024;1963-09-01 00:00:00.000;2014-12-31 00:00:00.000
47;22312;Ковда;4.953257800891531;-33.6;32.4;26920;1936-01-01 00:00:00.000;2014-12-31 00:00:00.000
48;22324;Умба;4.5364337276541065;-35.6;31.5;26459;1936-01-01 00:00:00.000;2014-12-31 00:00:00.000
49;22334;Кашкаранцы;3.756265105537354;-29.9;28.0;18619;1959-07-01 00:00:00.000;2013-06-30 00:00:00.000
50;22339;Чаваньга;3.870683572216097;-29.2;27.9;18140;1959-07-02 00:00:00.000;2014-12-31 00:00:00.000
51;22349;Пялица;3.196208885891961;-29.9;28.1;26694;1936-01-01 00:00:00.000;2014-12-31 00:00:00.000
52;22355;Сосновец;2.2018783022702197;-28.6;26.7;34446;1916-01-01 00:00:00.000;2014-10-31 00:00:00.000
53;22365;Абрамовский Маяк;2.7583767994992696;-37.3;33.0;19172;1959-07-01 00:00:00.000;2014-12-31 00:00:00.000
54;22375;Несь;2.9148595182050383;-40.5;34.4;19967;1959-07-01 00:00:00.000;2014-11-30 00:00:00.000
55;22383;Нижняя Пеша;2.2953581057320362;-43.9;43.0;25593;1939-01-01 00:00:00.000;2013-06-30 00:00:00.000
56;22408;Калевала;5.145992629267021;-41.2;33.2;26863;1936-01-01 00:00:00.000;2014-12-31 00:00:00.000
57;22413;Энгозеро;4.990863029893599;-36.0;32.8;17763;1966-01-01 00:00:00.000;2014-12-31 00:00:00.000
58;22422;Гридино;4.596559001997512;-32.3;34.2;26533;1936-01-01 00:00:00.000;2014-10-31 00:00:00.000
59;22429;Соловки;4.830546821352415;-26.5;31.2;27669;1936-01-01 00:00:00.000;2014-12-31 00:00:00.000
60;22456;Кепино;4.5260148451497315;-44.6;36.3;19535;1959-07-01 00:00:00.000;2014-12-31 00:00:00.000
61;22471;Мезень;3.8814338648102407;-40.1;35.0;17812;1966-01-01 00:00:00.000;2014-12-31 00:00:00.000
62;22481;Мосеево;3.796044486940768;-45.4;35.0;19871;1959-07-01 00:00:00.000;2014-12-31 00:00:00.000
63;22511;Юшкозеро;5.723226185809486;-39.8;34.4;20408;1959-01-01 00:00:00.000;2014-12-31 00:00:00.000
64;22525;Разнаволок;5.05705266955267;-32.3;35.0;27720;1936-01-01 00:00:00.000;2014-11-30 00:00:00.000
65;22529;Колежма;5.567546549016676;-32.8;34.6;26746;1937-10-01 00:00:00.000;2014-12-31 00:00:00.000
66;22541;Унский Маяк;4.6563035230352305;-30.0;34.6;27675;1936-01-01 00:00:00.000;2014-09-30 00:00:00.000
67;22546;Северодвинск;5.434032250012481;-33.5;35.9;20031;1959-07-01 00:00:00.000;2014-12-31 00:00:00.000
68;22550;Архангельск;5.046681888845705;-43.1;34.4;41168;1881-01-01 00:00:00.000;2014-12-31 00:00:00.000
69;22551;Мудьюг остров;4.645152396230198;-34.0;34.4;19948;1959-07-01 00:00:00.000;2014-12-31 00:00:00.000
70;22559;Холмогоры;5.477063771517997;-38.1;35.1;20448;1959-01-01 00:00:00.000;2014-12-31 00:00:00.000
71;22563;Пинега;4.850977747808496;-40.9;37.5;28177;1936-01-01 00:00:00.000;2014-12-31 00:00:00.000
72;22573;Лешуконское;4.116191820886491;-42.8;35.5;19831;1959-07-01 00:00:00.000;2014-12-31 00:00:00.000
73;22583;Койнас;4.0720834032086755;-46.8;36.0;35778;1915-01-01 00:00:00.000;2014-12-31 00:00:00.000
