;site_code;site_name;value_amount;lon;lat;name_map
599;28465;Ялуторовск;17410;66.3412;56.677606;Ялуторовск (28465) кол-во измерений:17410
600;28478;Голышманово;17410;68.368056;56.403614;Голышманово (28478) кол-во измерений:17410
601;28481;Викулово;17410;70.603889;56.818333;Викулово (28481) кол-во измерений:17410
602;28491;Большие Уки;17407;72.666667;56.933333;Большие Уки (28491) кол-во измерений:17407
603;28493;Тара;17775;74.383333;56.9;Тара (28493) кол-во измерений:17775
604;28502;Вятские Поляны;17209;51.03;56.23;Вятские Поляны (28502) кол-во измерений:17209
605;28506;Елабуга;15800;52.044167;55.758889;Елабуга (28506) кол-во измерений:15800
606;28517;Мензелинск;17742;53.069444;55.718611;Мензелинск (28517) кол-во измерений:17742
607;28522;Аскино;13632;56.57;56.11;Аскино (28522) кол-во измерений:13632
608;28526;Караидель;16736;56.91;55.83;Караидель (28526) кол-во измерений:16736
609;28533;Нязепетровск;17804;59.580000000000005;56.05;Нязепетровск (28533) кол-во измерений:17804
610;28535;Емаши;17625;58.61;55.93;Емаши (28535) кол-во измерений:17625
611;28537;Дуван;17598;57.9;55.7;Дуван (28537) кол-во измерений:17598
612;28541;Верхний Уфалей;15979;60.3;56.08;Верхний Уфалей (28541) кол-во измерений:15979
613;28548;Аргаяш;17247;60.900000000000006;55.55;Аргаяш (28548) кол-во измерений:17247
614;28549;Бродокалмак;17764;62.07;55.58;Бродокалмак (28549) кол-во измерений:17764
615;28552;Шадринск;17714;63.64999999999999;56.07;Шадринск (28552) кол-во измерений:17714
616;28561;Памятное;17774;65.7;56.02;Памятное (28561) кол-во измерений:17774
617;28573;Ишим;17370;69.409861;56.098972;Ишим (28573) кол-во измерений:17370
618;28581;Абатское;15584;70.434597;56.287378;Абатское (28581) кол-во измерений:15584
619;28586;Тюкалинск;17409;72.216667;55.868611;Тюкалинск (28586) кол-во измерений:17409
620;28587;Сладково;13392;70.352225;55.525278;Сладково (28587) кол-во измерений:13392
621;28588;Называевск;16314;71.366669;55.566669;Называевск (28588) кол-во измерений:16314
622;28593;Большеречье;17410;74.61;56.094444;Большеречье (28593) кол-во измерений:17410
623;28598;Саргатское;17073;73.492225;55.623333;Саргатское (28598) кол-во измерений:17073
624;28601;Чистополь;13389;50.6167;55.3167;Чистополь (28601) кол-во измерений:13389
625;28606;Акташ;16059;52.109167;55.050833;Акташ (28606) кол-во измерений:16059
626;28611;Муслюмово;17647;53.2;55.3167;Муслюмово (28611) кол-во измерений:17647
627;28615;Бакалы;17560;53.8;55.18;Бакалы (28615) кол-во измерений:17560
628;28617;Азнакаево;13448;53.069444;54.868611;Азнакаево (28617) кол-во измерений:13448
629;28621;Бирск;17165;55.55;55.4;Бирск (28621) кол-во измерений:17165
630;28622;Павловка;16721;56.6;55.4;Павловка (28622) кол-во измерений:16721
631;28624;Кушнаренково;17654;55.35;55.13;Кушнаренково (28624) кол-во измерений:17654
632;28629;Улу-Теляк;17633;56.95;54.9;Улу-Теляк (28629) кол-во измерений:17633
633;28630;Златоуст;17440;59.67;55.17;Златоуст (28630) кол-во измерений:17440
634;28645;Челябинск-Город;17314;61.3;55.15;Челябинск-Город (28645) кол-во измерений:17314
635;28647;Миасс;17774;60.08;55.0;Миасс (28647) кол-во измерений:17774
636;28655;Шумиха;17440;63.32;55.23;Шумиха (28655) кол-во измерений:17440
